Course,Section,Day,Time,Room,Available Slots,Total Slots,Demand,Credits,Probability,Instructors
,,,,,,,,,,
Physics 72,THQ-FQ-1,F,7-8AM,disc NIP,25,30,3,4.0,100.0,"ACOSTA, ANIKA MARIA ATHENA"
Physics 72,THQ-FQ-1,TTh,7-8:30AM,lec NIP,,,,,,"ACOSTA, ANIKA MARIA ATHENA"
Math 40,THU-1,TTh,10-11:30AM,lec MBAN,26,27,4,3.0,100.0,Concealed
Math 23,WFV-HV-2,WF,11:30AM-1PM,lec MB,25,25,2,4.0,100.0,Concealed
Math 23,WFV-HV-2,Th,11:45AM-12:45PM,lec TBA,,,,,,Concealed
CS 20,THJ,TTh,2-3PM,lec AECH-Accenture,13,25,2,3.0,100.0,Concealed
CS 20,THJ,W,7-10AM,lab AECH-TL1,,,,,,Concealed
CS 32,WFU,WF,10-11:30AM,lec AECH-Accenture,13,28,28,4.0,42.86,Concealed
CS 32,WFU,Th,4-7PM,lab AECH-TL2,,,,,,Concealed
,,,,,,,,,,
Physics 72,THQ-FQ-1,F,7-8AM,disc NIP,25,30,3,4.0,100.0,"ACOSTA, ANIKA MARIA ATHENA"
Physics 72,THQ-FQ-1,TTh,7-8:30AM,lec NIP,,,,,,"ACOSTA, ANIKA MARIA ATHENA"
Math 40,THU-1,TTh,10-11:30AM,lec MBAN,26,27,4,3.0,100.0,Concealed
Math 23,WFV-HV-2,WF,11:30AM-1PM,lec MB,25,25,2,4.0,100.0,Concealed
Math 23,WFV-HV-2,Th,11:45AM-12:45PM,lec TBA,,,,,,Concealed
CS 20,THJ,TTh,2-3PM,lec AECH-Accenture,9,25,3,3.0,100.0,Concealed
CS 20,THJ,W,4-7PM,lab AECH-TL2,,,,,,Concealed
CS 32,WFU,WF,10-11:30AM,lec AECH-Accenture,13,28,28,4.0,42.86,Concealed
CS 32,WFU,Th,4-7PM,lab AECH-TL2,,,,,,Concealed
,,,,,,,,,,
Physics 72,THQ-FQ-1,F,7-8AM,disc NIP,25,30,3,4.0,100.0,"ACOSTA, ANIKA MARIA ATHENA"
Physics 72,THQ-FQ-1,TTh,7-8:30AM,lec NIP,,,,,,"ACOSTA, ANIKA MARIA ATHENA"
Math 40,THU-1,TTh,10-11:30AM,lec MBAN,26,27,4,3.0,100.0,Concealed
Math 23,WFV-HV-2,WF,11:30AM-1PM,lec MB,25,25,2,4.0,100.0,Concealed
Math 23,WFV-HV-2,Th,11:45AM-12:45PM,lec TBA,,,,,,Concealed
CS 20,THK,TTh,3-4PM,lec AECH-Accenture,27,28,15,3.0,100.0,Concealed
CS 20,THK,W,4-7PM,lab AECH-TL3,,,,,,Concealed
CS 32,WFU,WF,10-11:30AM,lec AECH-Accenture,13,28,28,4.0,42.86,Concealed
CS 32,WFU,Th,4-7PM,lab AECH-TL2,,,,,,Concealed
,,,,,,,,,,
Physics 72,THQ-FQ-2,F,7-8AM,disc NIP,25,30,14,4.0,100.0,"SIMON, NI�A ANGELICA"
Physics 72,THQ-FQ-2,TTh,7-8:30AM,lec NIP,,,,,,"SIMON, NI�A ANGELICA"
Math 40,THU-1,TTh,10-11:30AM,lec MBAN,26,27,4,3.0,100.0,Concealed
Math 23,WFV-HV-2,WF,11:30AM-1PM,lec MB,25,25,2,4.0,100.0,Concealed
Math 23,WFV-HV-2,Th,11:45AM-12:45PM,lec TBA,,,,,,Concealed
CS 20,THJ,TTh,2-3PM,lec AECH-Accenture,13,25,2,3.0,100.0,Concealed
CS 20,THJ,W,7-10AM,lab AECH-TL1,,,,,,Concealed
CS 32,WFU,WF,10-11:30AM,lec AECH-Accenture,13,28,28,4.0,42.86,Concealed
CS 32,WFU,Th,4-7PM,lab AECH-TL2,,,,,,Concealed
,,,,,,,,,,
Physics 72,THQ-FQ-2,F,7-8AM,disc NIP,25,30,14,4.0,100.0,"SIMON, NI�A ANGELICA"
Physics 72,THQ-FQ-2,TTh,7-8:30AM,lec NIP,,,,,,"SIMON, NI�A ANGELICA"
Math 40,THU-1,TTh,10-11:30AM,lec MBAN,26,27,4,3.0,100.0,Concealed
Math 23,WFV-HV-2,WF,11:30AM-1PM,lec MB,25,25,2,4.0,100.0,Concealed
Math 23,WFV-HV-2,Th,11:45AM-12:45PM,lec TBA,,,,,,Concealed
CS 20,THJ,TTh,2-3PM,lec AECH-Accenture,9,25,3,3.0,100.0,Concealed
CS 20,THJ,W,4-7PM,lab AECH-TL2,,,,,,Concealed
